Kilometers_Driven,Mileage,Engine,Power,Seats,No. of Doors,Price,Age,Fuel_Type_Diesel,Fuel_Type_Petrol,Fuel_Type_CNG,Fuel_Type_LPG,Transmission_Manual,Transmission_Automatic,Owner_Type_First,Owner_Type_Second,Owner_Type_Third,Owner_Type_Fourth & Above,Colour_Others,Colour_Black/Silver,Colour_White
42203,17.1,1956,170.0,5,4,19.46,7.0,1,0,0,0,1,0,1,0,0,0,0,1,0
8500,18.9,1197,82.0,5,4,4.8,8.0,0,1,0,0,1,0,0,1,0,0,0,1,0
94000,17.05,1995,184.0,5,4,12.5,13.0,1,0,0,0,0,1,1,0,0,0,0,0,1
29832,21.1,814,55.2,5,4,3.29,9.0,0,1,0,0,1,0,1,0,0,0,0,0,1
32709,18.16,1196,86.8,5,4,6.46,7.0,0,1,0,0,1,0,1,0,0,0,0,1,0
38214,18.5,1197,80.0,5,4,4.05,13.0,0,1,0,0,1,0,0,1,0,0,0,0,1
69000,20.36,1197,78.9,5,4,2.9,15.0,0,1,0,0,1,0,1,0,0,0,1,0,0
20773,24.0,1186,73.97,5,4,5.92,8.0,1,0,0,0,1,0,1,0,0,0,0,0,1
92247,12.99,2494,100.6,7,4,12.5,11.0,1,0,0,0,1,0,1,0,0,0,1,0,0
30000,20.46,1461,83.8,5,4,5.95,11.0,1,0,0,0,1,0,1,0,0,0,0,0,1
37282,20.85,1197,83.14,5,4,6.75,8.0,0,1,0,0,1,0,1,0,0,0,0,0,1
29277,11.57,2987,254.79,5,4,59.65,7.0,1,0,0,0,0,1,1,0,0,0,0,0,1
34000,20.51,998,67.0,5,4,4.35,8.0,0,1,0,0,0,1,1,0,0,0,0,1,0
53000,14.67,1798,177.46,5,4,17.85,9.0,0,1,0,0,0,1,1,0,0,0,0,0,1
80102,17.71,1197,78.9,5,4,3.5,11.0,0,1,0,0,1,0,1,0,0,0,0,0,1
90400,26.2,998,58.2,5,4,2.9,13.0,0,0,1,0,1,0,1,0,0,0,0,1,0
64000,24.0,1120,70.0,5,4,4.15,11.0,1,0,0,0,1,0,1,0,0,0,0,1,0
65000,22.48,1995,190.0,5,4,21.26,12.0,1,0,0,0,0,1,1,0,0,0,1,0,0
72000,23.4,1248,74.0,5,4,2.69,12.0,1,0,0,0,1,0,1,0,0,0,1,0,0
70500,15.64,1193,64.1,5,4,1.5,15.0,0,1,0,0,1,0,1,0,0,0,1,0,0
27755,22.0,1197,81.8,5,4,5.45,9.0,0,1,0,0,1,0,1,0,0,0,1,0,0
20300,11.36,2755,171.5,7,4,18.0,7.0,1,0,0,0,0,1,1,0,0,0,0,0,1
22000,18.88,999,123.24,5,4,7.85,8.0,0,1,0,0,1,0,1,0,0,0,0,0,1
54957,17.1,1591,121.4,5,4,5.37,13.0,0,1,0,0,0,1,1,0,0,0,0,0,1
63295,19.01,1461,108.45,5,4,6.09,12.0,1,0,0,0,1,0,1,0,0,0,1,0,0
51450,12.8,2494,102.0,7,4,10.4,12.0,1,0,0,0,1,0,1,0,0,0,0,1,0
69870,14.2,1597,92.0,5,4,1.1,21.0,0,1,0,0,1,0,0,1,0,0,1,0,0
71000,25.1,1498,98.6,5,4,7.45,11.0,1,0,0,0,1,0,1,0,0,0,0,0,1
50000,12.7,2609,116.6,8,5,1.94,20.0,1,0,0,0,1,0,1,0,0,0,0,0,1
30441,15.9,1298,85.0,5,4,1.45,18.0,0,1,0,0,1,0,1,0,0,0,0,1,0
54534,16.95,1197,78.9,5,4,3.65,12.0,0,1,0,0,0,1,1,0,0,0,1,0,0
87982,21.64,1461,84.8,5,4,5.0,13.0,1,0,0,0,1,0,1,0,0,0,1,0,0
67906,25.2,1248,74.0,5,4,5.63,9.0,1,0,0,0,1,0,1,0,0,0,1,0,0
15000,18.9,1197,82.0,5,4,5.35,9.0,0,1,0,0,0,1,1,0,0,0,0,1,0
40206,19.01,1461,108.5,5,4,7.22,11.0,1,0,0,0,1,0,1,0,0,0,1,0,0
60000,15.73,1968,174.33,5,4,22.0,12.0,1,0,0,0,0,1,1,0,0,0,0,1,0
62946,15.1,2179,140.0,7,5,11.05,9.0,1,0,0,0,1,0,1,0,0,0,0,0,1
29000,20.36,1197,78.9,5,4,2.35,13.0,0,1,0,0,1,0,1,0,0,0,1,0,0
60924,15.63,1499,110.4,5,4,8.3,9.0,0,1,0,0,0,1,1,0,0,0,1,0,0
75000,12.99,2494,100.6,8,5,11.75,10.0,1,0,0,0,1,0,1,0,0,0,0,0,1
87670,13.4,1798,157.8,5,4,4.0,14.0,0,1,0,0,1,0,1,0,0,0,1,0,0
25000,10.37,2979,306.0,2,2,30.0,14.0,0,1,0,0,0,1,1,0,0,0,0,1,0
110000,28.4,1248,73.75,5,4,4.0,14.0,1,0,0,0,1,0,1,0,0,0,1,0,0
101119,11.0,2993,235.0,5,4,18.46,15.0,1,0,0,0,0,1,1,0,0,0,1,0,0
51076,12.07,2967,241.4,7,5,34.88,11.0,1,0,0,0,0,1,1,0,0,0,0,1,0
40000,18.0,1198,86.7,5,4,3.25,12.0,0,1,0,0,1,0,1,0,0,0,1,0,0
59630,13.0,2143,201.1,5,4,23.41,10.0,1,0,0,0,0,1,1,0,0,0,0,1,0
231673,17.0,1497,118.0,5,4,2.6,16.0,0,1,0,0,1,0,1,0,0,0,0,1,0
18500,16.2,1199,74.0,5,4,6.25,8.0,0,1,0,0,1,0,1,0,0,0,1,0,0
35000,24.0,1120,70.0,5,4,4.88,10.0,1,0,0,0,1,0,1,0,0,0,0,0,1
78203,18.1,1991,147.9,4,4,5.5,14.0,1,0,0,0,0,1,1,0,0,0,1,0,0
54569,20.77,1248,88.76,7,5,5.99,11.0,1,0,0,0,1,0,1,0,0,0,1,0,0
55746,22.9,1248,74.0,5,4,6.95,9.0,1,0,0,0,1,0,1,0,0,0,0,1,0
42100,18.0,995,62.0,5,4,0.99,18.0,0,1,0,0,1,0,1,0,0,0,1,0,0
11000,15.5,1595,120.7,5,4,16.0,10.0,0,1,0,0,0,1,1,0,0,0,0,1,0
28000,17.0,1197,80.0,5,4,2.65,16.0,0,1,0,0,1,0,1,0,0,0,1,0,0
43912,15.1,1196,73.0,5,4,4.33,7.0,0,0,1,0,1,0,1,0,0,0,0,1,0
25040,21.4,1197,83.1,5,4,7.74,8.0,0,1,0,0,1,0,1,0,0,0,1,0,0
56000,14.53,1798,138.1,5,4,8.25,12.0,0,1,0,0,0,1,1,0,0,0,1,0,0
54898,16.1,1298,88.2,5,4,2.5,15.0,0,1,0,0,1,0,0,0,1,0,1,0,0
39000,26.59,1248,74.0,5,4,5.8,9.0,1,0,0,0,1,0,1,0,0,0,1,0,0
70000,19.4,1198,86.8,5,4,2.5,13.0,0,1,0,0,1,0,0,1,0,0,0,1,0
84600,21.1,814,55.2,5,4,2.5,12.0,0,1,0,0,1,0,0,1,0,0,0,0,1
104000,19.08,1582,126.32,5,4,5.75,14.0,1,0,0,0,0,1,1,0,0,0,1,0,0
68000,10.91,3198,197.0,7,5,29.5,9.0,1,0,0,0,0,1,1,0,0,0,0,1,0
73500,20.0,1399,68.0,5,4,2.6,13.0,1,0,0,0,1,0,0,1,0,0,0,0,1
13008,20.51,998,67.04,5,4,3.5,10.0,0,1,0,0,1,0,1,0,0,0,0,0,1
83000,11.74,2987,254.8,5,4,36.0,13.0,1,0,0,0,0,1,1,0,0,0,1,0,0
69000,16.6,1388,68.0,5,4,2.15,19.0,0,1,0,0,1,0,1,0,0,0,0,1,0
37000,23.0,1396,90.0,5,4,2.95,14.0,1,0,0,0,1,0,1,0,0,0,0,1,0
48200,15.29,1591,121.3,5,4,9.0,10.0,0,1,0,0,1,0,1,0,0,0,1,0,0
49000,16.73,2495,218.0,5,4,15.5,13.0,1,0,0,0,0,1,0,1,0,0,1,0,0
126000,16.0,2179,140.0,7,5,6.7,14.0,1,0,0,0,1,0,0,0,1,0,1,0,0
56058,15.04,1598,103.2,5,4,4.95,11.0,0,1,0,0,1,0,1,0,0,0,1,0,0
25093,21.4,1197,83.1,5,4,7.76,7.0,0,1,0,0,1,0,1,0,0,0,1,0,0
40315,18.5,1198,86.8,5,4,2.75,13.0,0,1,0,0,1,0,1,0,0,0,0,1,0
59000,19.4,1198,86.8,5,4,3.25,13.0,0,1,0,0,1,0,1,0,0,0,1,0,0
76467,18.12,1995,190.0,5,4,30.45,9.0,1,0,0,0,0,1,1,0,0,0,1,0,0
48000,25.8,1498,98.6,5,4,4.5,10.0,1,0,0,0,1,0,1,0,0,0,1,0,0
39000,14.84,2143,170.0,5,4,9.5,15.0,1,0,0,0,0,1,1,0,0,0,0,0,1
48466,17.0,1497,118.0,5,4,3.26,14.0,0,1,0,0,1,0,1,0,0,0,0,0,1
34900,22.0,1197,81.8,5,4,5.49,12.0,0,1,0,0,1,0,1,0,0,0,0,1,0
64961,16.0,2179,140.0,7,5,16.13,8.0,1,0,0,0,1,0,1,0,0,0,0,1,0
21000,17.05,1995,184.0,5,4,33.0,9.0,1,0,0,0,0,1,1,0,0,0,1,0,0
36891,17.8,1497,117.3,5,4,10.49,9.0,0,1,0,0,1,0,1,0,0,0,0,0,1
7000,17.1,1956,170.0,5,4,17.45,8.0,1,0,0,0,1,0,1,0,0,0,1,0,0
37822,22.5,998,67.04,5,4,2.35,15.0,0,1,0,0,1,0,1,0,0,0,0,0,1
81828,24.0,1186,73.97,5,4,5.43,10.0,1,0,0,0,1,0,1,0,0,0,0,1,0
50000,19.4,1198,86.8,5,4,3.65,13.0,0,1,0,0,1,0,1,0,0,0,0,0,1
76000,24.4,1120,71.0,5,4,3.8,9.0,1,0,0,0,1,0,1,0,0,0,0,1,0
24720,0.0,2967,241.4,5,4,28.0,13.0,1,0,0,0,0,1,0,1,0,0,1,0,0
57759,21.1,814,55.2,5,4,3.84,12.0,0,1,0,0,1,0,1,0,0,0,1,0,0
70933,21.9,1396,88.76,5,4,3.9,12.0,1,0,0,0,1,0,0,1,0,0,1,0,0
33901,12.8,2494,102.0,8,5,14.29,8.0,1,0,0,0,1,0,1,0,0,0,1,0,0
13689,17.9,2143,136.0,5,4,28.25,8.0,1,0,0,0,0,1,1,0,0,0,1,0,0
10000,18.9,1197,81.86,5,4,6.5,7.0,0,1,0,0,1,0,1,0,0,0,1,0,0
30000,21.1,814,55.2,5,4,2.1,12.0,0,1,0,0,1,0,1,0,0,0,0,0,1
21000,16.8,1395,138.02,5,4,8.75,12.0,0,1,0,0,1,0,1,0,0,0,1,0,0
58000,16.47,1198,73.9,5,4,3.95,10.0,0,1,0,0,1,0,1,0,0,0,0,0,1
42000,16.02,1373,93.7,7,5,5.94,11.0,0,1,0,0,1,0,0,1,0,0,1,0,0
24465,19.27,2143,167.62,5,4,39.45,7.0,1,0,0,0,0,1,1,0,0,0,1,0,0
70000,16.1,1298,88.2,5,4,1.3,14.0,0,1,0,0,1,0,1,0,0,0,0,1,0
64000,16.07,1995,181.0,5,4,10.5,14.0,1,0,0,0,0,1,1,0,0,0,0,0,1
48500,26.6,998,58.16,5,4,2.85,11.0,0,0,1,0,1,0,0,1,0,0,1,0,0
46808,24.07,998,67.1,5,4,3.19,14.0,0,1,0,0,1,0,0,1,0,0,0,0,1
39852,16.0,1368,90.0,5,4,1.59,15.0,0,1,0,0,1,0,1,0,0,0,0,1,0
232000,11.5,1991,147.9,7,5,3.5,16.0,1,0,0,0,1,0,1,0,0,0,1,0,0
117837,22.32,1582,126.32,5,4,4.75,13.0,1,0,0,0,1,0,0,1,0,0,0,0,1
90000,13.93,2179,138.1,7,5,2.75,14.0,1,0,0,0,1,0,0,1,0,0,0,1,0
7501,10.0,2996,333.0,4,4,48.0,10.0,0,1,0,0,0,1,1,0,0,0,1,0,0
145000,20.4,1248,91.7,5,4,2.6,15.0,1,0,0,0,1,0,1,0,0,0,1,0,0
35000,16.5,1198,86.8,5,4,4.25,11.0,0,1,0,0,0,1,1,0,0,0,1,0,0
30000,23.0,1498,98.96,5,4,8.99,8.0,1,0,0,0,1,0,1,0,0,0,0,0,1
30566,19.2,1197,80.0,5,4,3.32,15.0,0,1,0,0,0,1,1,0,0,0,0,0,1
100000,22.69,1995,190.0,5,4,10.9,14.0,1,0,0,0,0,1,0,1,0,0,1,0,0
42109,23.4,1248,74.0,5,4,4.25,11.0,1,0,0,0,1,0,1,0,0,0,0,0,1
26000,15.8,2148,170.0,5,4,26.0,10.0,1,0,0,0,1,0,1,0,0,0,0,1,0
37124,20.4,1197,81.8,5,4,5.44,8.0,0,1,0,0,1,0,1,0,0,0,1,0,0
41000,17.0,2149,139.07,7,5,8.0,11.0,1,0,0,0,1,0,1,0,0,0,0,1,0
23550,19.27,2143,167.62,5,4,33.66,8.0,1,0,0,0,0,1,1,0,0,0,0,0,1
51002,11.33,4134,335.2,7,5,48.91,9.0,1,0,0,0,0,1,1,0,0,0,0,0,1
255000,12.99,2494,100.6,7,4,6.5,12.0,1,0,0,0,1,0,0,0,1,0,1,0,0
31446,20.36,1197,78.9,5,4,4.66,11.0,0,1,0,0,1,0,1,0,0,0,1,0,0
42831,26.0,1498,98.6,5,4,7.11,10.0,1,0,0,0,1,0,1,0,0,0,0,0,1
27417,18.9,1197,82.0,5,4,6.89,8.0,0,1,0,0,0,1,1,0,0,0,0,1,0
27057,15.29,1591,121.3,5,4,8.15,10.0,0,1,0,0,1,0,0,1,0,0,0,0,1
14980,27.3,1498,98.6,5,4,7.4,9.0,1,0,0,0,1,0,1,0,0,0,0,0,1
72500,18.5,1399,68.0,5,4,3.12,13.0,1,0,0,0,1,0,1,0,0,0,0,1,0
76752,17.4,1497,117.3,5,4,3.57,15.0,0,1,0,0,1,0,1,0,0,0,0,1,0
37000,20.45,1461,83.8,5,4,6.5,9.0,1,0,0,0,1,0,1,0,0,0,0,0,1
80000,22.32,1582,126.32,5,4,5.25,13.0,1,0,0,0,1,0,1,0,0,0,0,0,1
92000,13.6,2523,63.0,7,5,2.7,18.0,1,0,0,0,1,0,1,0,0,0,0,0,1
44000,17.1,1591,121.4,5,4,5.6,12.0,0,1,0,0,0,1,1,0,0,0,0,0,1
85827,20.77,1248,88.76,7,5,7.5,9.0,1,0,0,0,1,0,1,0,0,0,0,0,1
130790,16.0,2179,140.0,7,5,9.24,12.0,1,0,0,0,1,0,1,0,0,0,1,0,0
51982,16.55,2993,258.0,5,4,45.77,8.0,1,0,0,0,0,1,1,0,0,0,1,0,0
80073,17.3,1998,163.7,5,4,7.11,11.0,1,0,0,0,1,0,1,0,0,0,1,0,0
51866,18.9,1197,82.0,5,4,5.5,9.0,0,1,0,0,1,0,1,0,0,0,0,0,1
8000,12.5,5000,488.1,2,2,100.0,10.0,0,1,0,0,0,1,1,0,0,0,1,0,0
10200,19.1,1197,82.0,5,4,4.99,9.0,0,1,0,0,1,0,1,0,0,0,0,1,0
52108,19.01,1461,108.45,5,4,5.49,11.0,1,0,0,0,1,0,1,0,0,0,0,1,0
120000,18.9,998,67.1,5,4,1.69,16.0,0,1,0,0,1,0,1,0,0,0,1,0,0
42244,19.67,1582,126.2,5,4,12.0,9.0,1,0,0,0,1,0,1,0,0,0,0,0,1
30000,18.0,1497,117.3,5,4,8.65,10.0,0,1,0,0,0,1,1,0,0,0,0,0,1
55000,21.5,1197,81.8,5,4,3.1,10.0,0,1,0,0,1,0,1,0,0,0,0,1,0
55002,17.5,1298,85.8,5,4,4.25,13.0,0,1,0,0,1,0,1,0,0,0,0,1,0
61000,17.5,1198,70.0,5,4,1.65,17.0,0,1,0,0,1,0,0,1,0,0,0,1,0
69000,18.5,1197,80.0,5,4,2.4,16.0,0,1,0,0,1,0,0,1,0,0,0,0,1
67000,13.4,1794,125.0,5,4,2.2,18.0,0,1,0,0,1,0,0,0,1,0,1,0,0
97000,13.17,1999,114.0,5,4,3.0,16.0,0,1,0,0,1,0,1,0,0,0,1,0,0
65000,19.01,1461,108.45,5,4,5.5,12.0,1,0,0,0,1,0,0,1,0,0,1,0,0
85122,12.99,2494,100.0,7,4,8.2,13.0,1,0,0,0,1,0,1,0,0,0,0,0,1
1000,13.49,2179,138.03,5,4,7.5,8.0,1,0,0,0,1,0,1,0,0,0,0,1,0
55231,20.36,1197,78.9,5,4,2.78,13.0,0,1,0,0,1,0,0,1,0,0,0,0,1
127887,21.1,1248,73.9,5,4,2.95,14.0,1,0,0,0,1,0,1,0,0,0,0,1,0
46000,16.36,2179,187.7,5,4,24.0,12.0,1,0,0,0,0,1,0,1,0,0,0,0,1
13190,0.0,1950,181.43,5,4,38.99,6.0,0,1,0,0,0,1,1,0,0,0,0,0,1
39575,25.8,1498,98.6,5,4,3.25,12.0,1,0,0,0,1,0,1,0,0,0,0,0,1
80000,20.4,1248,91.2,5,4,1.75,16.0,1,0,0,0,1,0,0,1,0,0,0,1,0
81177,16.0,1997,140.0,7,5,11.25,9.0,1,0,0,0,1,0,1,0,0,0,0,1,0
95100,22.9,1248,74.0,5,4,3.75,13.0,1,0,0,0,1,0,1,0,0,0,0,0,1
93321,22.7,1498,89.84,5,4,6.25,11.0,1,0,0,0,1,0,1,0,0,0,0,1,0
73525,16.46,2993,258.0,5,4,34.54,12.0,1,0,0,0,0,1,1,0,0,0,1,0,0
94868,22.9,1248,74.0,5,4,4.5,13.0,1,0,0,0,1,0,1,0,0,0,0,0,1
54000,16.0,2179,140.0,7,5,13.0,9.0,1,0,0,0,1,0,1,0,0,0,0,1,0
82203,19.81,1086,68.05,5,4,1.8,17.0,0,1,0,0,1,0,1,0,0,0,1,0,0
35000,27.3,1498,98.6,5,4,5.5,9.0,1,0,0,0,1,0,1,0,0,0,1,0,0
130000,20.54,1598,103.6,5,4,4.75,13.0,1,0,0,0,1,0,1,0,0,0,0,1,0
47774,18.9,1197,82.0,5,4,6.04,8.0,0,1,0,0,1,0,1,0,0,0,0,1,0
56400,17.2,1968,138.1,5,4,8.0,13.0,1,0,0,0,0,1,1,0,0,0,1,0,0
30000,16.47,1198,73.9,5,4,2.8,12.0,0,1,0,0,1,0,1,0,0,0,1,0,0
49575,18.7,1199,88.7,5,4,7.17,8.0,0,1,0,0,1,0,1,0,0,0,0,0,1
25500,22.54,1396,88.73,5,4,7.0,8.0,1,0,0,0,1,0,1,0,0,0,0,1,0
19000,20.85,1197,83.14,5,4,5.25,10.0,0,1,0,0,1,0,1,0,0,0,0,1,0
93166,14.02,2179,118.3,7,5,5.85,9.0,1,0,0,0,1,0,0,1,0,0,0,0,1
73204,18.1,1991,147.9,4,4,3.5,16.0,1,0,0,0,0,1,0,0,1,0,0,0,1
68865,15.11,1598,103.6,5,4,4.8,11.0,1,0,0,0,1,0,1,0,0,0,0,1,0
40000,15.0,1368,90.0,5,4,1.35,15.0,0,1,0,0,1,0,1,0,0,0,1,0,0
76362,24.0,1120,70.0,5,4,5.5,10.0,1,0,0,0,1,0,1,0,0,0,0,0,1
31001,24.3,1248,88.5,5,4,7.25,9.0,1,0,0,0,1,0,1,0,0,0,0,0,1
85000,13.8,1299,70.0,5,4,0.69,19.0,0,1,0,0,1,0,0,1,0,0,0,0,1
23000,18.2,1061,64.0,5,4,1.9,15.0,0,1,0,0,1,0,1,0,0,0,0,1,0
90000,13.8,1299,70.0,5,4,1.4,18.0,0,1,0,0,1,0,0,1,0,0,1,0,0
81759,19.3,1248,73.9,5,4,4.39,14.0,1,0,0,0,1,0,1,0,0,0,1,0,0
42086,17.0,1497,118.0,5,4,3.35,14.0,0,1,0,0,1,0,1,0,0,0,1,0,0
71932,12.55,2982,168.5,7,5,16.5,12.0,1,0,0,0,0,1,1,0,0,0,1,0,0
43828,20.51,998,67.04,5,4,3.52,10.0,0,1,0,0,1,0,1,0,0,0,0,1,0
121000,16.4,1896,90.0,5,4,2.5,19.0,1,0,0,0,1,0,0,1,0,0,0,1,0
50000,18.5,1197,85.8,5,4,1.5,14.0,0,1,0,0,1,0,0,1,0,0,0,1,0
62000,17.8,1248,75.0,5,4,4.5,13.0,1,0,0,0,1,0,1,0,0,0,0,0,1
65000,16.47,1198,73.9,5,4,3.0,14.0,0,1,0,0,1,0,0,1,0,0,0,0,1
2200,15.7,1390,75.0,5,4,2.3,17.0,0,1,0,0,1,0,1,0,0,0,1,0,0
28147,18.9,1197,81.86,5,4,5.07,9.0,0,1,0,0,1,0,1,0,0,0,0,0,1
128000,22.32,1582,126.32,5,4,5.0,13.0,1,0,0,0,1,0,1,0,0,0,0,0,1
49000,14.84,2143,167.62,5,4,19.25,13.0,1,0,0,0,0,1,0,1,0,0,1,0,0
87000,22.69,1995,190.0,5,4,6.67,6.0,1,0,0,0,0,1,1,0,0,0,0,1,0
35000,22.7,1582,126.2,5,4,15.0,7.0,1,0,0,0,1,0,1,0,0,0,1,0,0
43000,16.8,1497,116.3,5,4,3.75,15.0,0,1,0,0,1,0,0,1,0,0,0,0,1
64798,13.68,2393,147.8,7,4,18.75,8.0,1,0,0,0,1,0,1,0,0,0,1,0,0
52895,17.3,1998,163.7,5,4,6.02,11.0,1,0,0,0,1,0,1,0,0,0,0,0,1
45000,24.2,1498,98.6,7,5,5.0,11.0,1,0,0,0,1,0,1,0,0,0,1,0,0
15135,17.5,1199,88.7,5,4,9.29,7.0,0,1,0,0,1,0,1,0,0,0,0,0,1
83629,25.44,936,56.3,5,4,3.15,9.0,1,0,0,0,1,0,1,0,0,0,0,0,1
35059,17.21,1798,189.0,4,4,5.75,11.0,0,1,0,0,0,1,1,0,0,0,0,0,1
82000,18.7,1896,66.0,5,4,2.35,17.0,1,0,0,0,1,0,0,1,0,0,0,1,0
25299,24.3,1248,88.5,5,4,10.34,8.0,1,0,0,0,1,0,1,0,0,0,0,0,1
61202,11.18,2696,184.0,7,5,14.5,12.0,1,0,0,0,0,1,1,0,0,0,1,0,0
7523,16.2,1199,74.0,5,4,6.15,9.0,0,1,0,0,1,0,1,0,0,0,1,0,0
93000,14.0,2179,138.1,7,5,8.25,11.0,1,0,0,0,1,0,1,0,0,0,1,0,0
31000,22.54,1396,88.73,5,4,7.75,7.0,1,0,0,0,1,0,1,0,0,0,1,0,0
108000,13.7,1798,157.75,5,4,4.35,16.0,0,1,0,0,0,1,1,0,0,0,1,0,0
1000,25.17,799,53.3,5,4,3.4,7.0,0,1,0,0,1,0,1,0,0,0,1,0,0
20002,14.75,2967,245.0,7,5,67.0,9.0,1,0,0,0,0,1,1,0,0,0,0,0,1
100000,25.83,1498,99.0,5,4,5.1,9.0,1,0,0,0,1,0,1,0,0,0,1,0,0
81768,26.59,1248,74.0,5,4,5.69,11.0,1,0,0,0,1,0,1,0,0,0,0,1,0
80000,21.27,1396,88.76,5,4,4.5,13.0,1,0,0,0,1,0,1,0,0,0,0,0,1
600,21.5,1197,81.8,5,4,6.25,6.0,0,1,0,0,0,1,1,0,0,0,1,0,0
11000,18.7,1199,88.7,5,4,6.75,8.0,0,1,0,0,1,0,1,0,0,0,0,0,1
55000,14.21,2143,203.0,5,4,16.0,14.0,1,0,0,0,0,1,0,1,0,0,0,1,0
97000,11.5,2982,169.0,7,5,16.75,13.0,1,0,0,0,0,1,1,0,0,0,0,0,1
121362,13.68,2393,147.8,7,4,16.0,9.0,1,0,0,0,1,0,1,0,0,0,1,0,0
44223,17.6,1496,88.7,5,4,3.99,13.0,0,1,0,0,1,0,1,0,0,0,1,0,0
43000,16.0,2179,140.0,7,5,7.0,12.0,1,0,0,0,1,0,1,0,0,0,1,0,0
86000,14.53,1798,138.1,5,4,3.5,17.0,0,1,0,0,1,0,0,1,0,0,1,0,0
55000,26.6,998,58.16,5,4,3.7,10.0,0,0,1,0,1,0,1,0,0,0,1,0,0
129000,11.0,2987,258.0,7,5,56.0,8.0,1,0,0,0,0,1,1,0,0,0,0,1,0
66000,25.44,936,56.3,5,4,2.35,10.0,1,0,0,0,1,0,1,0,0,0,0,0,1
58197,18.0,1497,117.3,5,4,9.19,9.0,0,1,0,0,0,1,1,0,0,0,0,1,0
37873,22.32,1582,126.32,5,4,4.8,12.0,1,0,0,0,1,0,1,0,0,0,0,1,0
87000,13.5,1799,130.0,5,4,2.35,17.0,0,1,0,0,1,0,1,0,0,0,0,0,1
56263,22.9,1248,74.0,5,4,4.17,12.0,1,0,0,0,1,0,1,0,0,0,1,0,0
37081,18.9,1197,82.0,5,4,5.77,10.0,0,1,0,0,0,1,1,0,0,0,1,0,0
30112,27.39,1248,74.0,5,4,7.79,9.0,1,0,0,0,1,0,1,0,0,0,0,1,0
46000,13.7,1798,157.75,5,4,4.9,14.0,0,1,0,0,0,1,1,0,0,0,0,0,1
68000,21.1,1248,73.9,5,4,3.2,15.0,1,0,0,0,1,0,0,1,0,0,0,1,0
